지역,일자,지명,주소,좌표
서울,5/5,국수나무동서울터미널점,서울광진구구의동546-1,"37.53453815012737,127.09418359790287"
서울,5/6,섬기는교회,서울광진구광장동326-15,"37.5471813474536,127.10657148797802"
서울,5/5,용문버스터미널,경기양평군용문면다문리2,"37.48915791102825,127.59912606198176"
서울,5/8,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
서울,5/7,코로나19용산구보건소선별진료소,서울용산구이태원동34-87,"37.5325896182205,126.99061852981102"
서울,5/6,현대백화점충청점,충북청주시흥덕구복대동3380,"36.64482878471058,127.426506441269"
서울,5/7,현대백화점충청점,충북청주시흥덕구복대동3380,"36.64482878471058,127.426506441269"
서울,5/8,현대백화점충청점,충북청주시흥덕구복대동3380,"36.64482878471058,127.426506441269"
서울,5/8,코로나19흥덕보건소선별진료소,충북청주시흥덕구비하동792,"36.63015833819997,127.42651949989235"
인천,5/8,블레스병원,인천서구당하동1093-1,"37.592846641963874,126.67480284439013"
인천,5/9,인하대병원,인천중구신흥동3가7-206,"37.4588334876626,126.63427046665801"
경기,5/9,부천종합터미널,경기부천시상동539-1,"37.50415598647719,126.75666759838299"
서울,5/8,코로나19강서구보건소선별진료소,서울강서구염창동275-12,"37.54961750526951,126.868285554347"
서울,5/9,서울대학교병원,서울종로구연건동28-21,"37.5796653058195,126.998962996348"
경기,5/5,이박사한우정육점식당,경기성남시수정구수진동4512,"37.43510549690039,127.129601689973"
경기,5/5,수원역,경기수원시팔달구매산로1가18,"37.2657903079673,127.00009470029198"
경기,5/6,종각역1호선,서울종로구관철동291-2,"37.5702288920691,126.983151948921"
경기,5/6,군자역5호선,서울광진구능동275-5,"37.55714968532061,127.079512877207"
경기,5/7,뚝섬유원지역7호선,서울광진구자양동71-2,"37.53155837556459,127.066796230331"
경기,5/8,코로나19강동구보건소선별진료소,서울강동구성내동541-2,"37.529268770502796,127.125614688949"
경기,5/8,국립중앙의료원,서울중구을지로6가18-79,"37.56724946361499,127.005691254159"
서울,5/7,가왕코인노래연습장,서울도봉구창동655-20,"37.647328153148386,127.03440624550102"
서울,5/8,코로나19도봉구보건소선별진료소,서울도봉구쌍문동565,"37.65791512417859,127.038844549549"
서울,5/8,창2동주민센터,서울도봉구창동632-73,"37.64138128681109,127.03565890642902"
서울,5/7,방이역5호선,서울송파구방이동,"37.50875062519891,127.12609604698602"
서울,5/7,뚜레쥬르오금대림점,서울송파구오금동23-3,"37.507475040914215,127.129210960054"
서울,5/7,세븐일레븐오금동양점,서울송파구오금동40-10,"37.50667871769189,127.129060296037"
서울,5/4,신림역2호선,서울관악구신림동1467-10,"37.4842680361482,126.929745374123"
서울,5/4,KTM&S신림직영점,서울관악구신림동1425-12,"37.4864951627575,126.92946739965399"
서울,5/5,사이공본가신림점,서울관악구신림동1433-88,"37.4842559935919,126.927705677221"
서울,5/5,신림역2호선,서울관악구신림동1467-10,"37.4842680361482,126.929745374123"
서울,5/7,코로나19영등포구보건소선별진료소,서울영등포구당산동3가385-1,"37.5263484763681,126.89550466511702"
서울,5/7,신림역2호선,서울관악구신림동1467-10,"37.4842680361482,126.929745374123"
서울,5/8,중앙대학교병원,서울동작구흑석동224-1,"37.5070346335871,126.96077231617"
서울,5/7,에그드랍서울대입구점,서울관악구봉천동856-2,"37.4802114757342,126.952886855414"
서울,5/7,코로나19관악구보건소선별진료소,서울관악구봉천동1570-1,"37.4784799393239,126.951168342897"
서울,5/7,서울대입구역2호선,서울관악구봉천동979-2,"37.48128450806781,126.95271319776198"
경기,5/5,버거킹수지구청역점,경기용인시수지구풍덕천동714-5,"37.32427800833081,127.097400208449"
경기,5/4,트렁크,경기용인시수지구풍덕천동714-5,"37.534188,126.995824"
서울,5/8,코로나19홍익병원선별진료소,서울양천구신정동899-1,"37.5284819907038,126.86363904011"
서울,5/9,가톨릭대학교은평성모병원,서울은평구진관동93-11,"37.633608409726854,126.91615048739686"
서울,5/5,힘,서울은평구진관동93-11,"37.533459,126.995730"
서울,5/5,SOHO,서울은평구진관동93-11,"37.533518,126.996228"
서울,5/8,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
서울,5/8,코로나19서대문구보건소선별진료소,서울서대문구연희동165-2,"37.5786101638561,126.93627272632699"
서울,5/9,서울특별시보라매병원,서울동작구신대방동425,"Seou,37.49379005514929"
서울,5/1,해남닭집,서울광진구화양동12-40,"37.5439831154697,127.069998313511"
서울,5/3,건대가온약국,서울광진구화양동527,"37.546560498515895,127.07501144377102"
서울,5/4,이마트24화양행운점,서울광진구화양동1-20,"37.5449373776953,127.07132993731402"
서울,5/4,GS수퍼마켓광진화양점,서울광진구화양동10-1,"37.543576043405,127.06969467646898"
서울,5/4,테이큰커피2호점,서울광진구화양동15-60,"37.5445420500523,127.069464735778"
서울,5/4,김밥마을건대본점,서울광진구화양동15-61,"37.544653800501706,127.06941957666001"
서울,5/5,혼식당,서울광진구화양동15-62,"37.544743937600295,127.06935629223499"
서울,5/5,GS수퍼마켓광진화양점,서울광진구화양동10-1,"37.543576043405,127.06969467646898"
서울,5/5,테이큰커피2호점,서울광진구화양동15-60,"37.5445420500523,127.069464735778"
서울,5/6,올리브영건대점,서울광진구화양동3-34,"37.542806273097675,127.07172847287468"
서울,5/6,맘스터치건대로데오점,서울광진구자양동7-25,"37.54052432288011,127.068211823648"
서울,5/7,이마트24화양행운점,서울광진구화양동1-20,"37.5449373776953,127.07132993731402"
서울,5/9,서울특별시서울의료원,서울중랑구신내동316,"37.6128675208202,127.09809248467599"
서울,5/3,피트니스아레나광나루4호점,서울광진구광장동445-6,"37.5441211452815,127.10297215961799"
서울,5/4,고오기,서울광진구자양동510-5,"37.5371284791567,127.06971130449"
서울,5/4,GS25건대제일점,서울광진구화양동49-1,"37.54188754831209,127.066610821384"
서울,5/4,슈퍼스타,서울광진구화양동48-23,"37.5417721437543,127.06674650191101"
서울,5/5,할리스커피광장점,서울광진구구의동199-4,"37.54060947974001,127.09604702199613"
서울,5/6,피트니스아레나광나루4호점,서울광진구광장동445-6,"37.5441211452815,127.10297215961799"
서울,5/7,딜리버리킹(조선닭볶음탕,도봉2동),"ddress_eishDeiveryKi(ChosuDkbokkeum,Dobo2-do)"
경기,5/8,코로나19동안구보건소선별진료소,경기안양시동안구비산동1111,"37.3930351643306,126.95205046262001"
경기,5/5,경기마트,서울성북구길음동1286,"37.60264232968851,127.021095244064"
경기,5/6,이디야커피정릉뉴타운점,서울성북구정릉동1034,"37.6030500254696,127.01841823718499"
경기,5/8,코로나19성북구보건소선별진료소,서울성북구하월곡동46-1,"37.60270967362871,127.039531534938"
경기,5/4,"티맥스소프트제2R&D센터	",경기성남시분당구구미동163,"37.34162375654941,127.10680283505785"
경기,5/4,김밥천국포스빌점,경기성남시분당구구미동156,"37.34051249179671,127.10811934923899"
경기,5/6,전주콩나루콩나물국밥수내점,경기성남시분당구수내동8-5,"37.379901648666,127.11588077901901"
경기,5/7,전주콩나루콩나물국밥수내점,경기성남시분당구수내동8-5,"37.379901648666,127.11588077901901"
경기,5/7,달콤커피모란점,경기성남시수정구수진동4531,"37.43414006031521,127.129188740337"
경기,4/30,가평군농협하나로마트자라점,경기가평군가평읍달전리452-1,"37.8144905695799,127.515027492306"
서울,5/2,낙성대역2호선,서울관악구봉천동1693-39,"37.47709324099651,126.96352390500101"
서울,5/3,GS25봉천해오름점,서울관악구봉천동1722,"37.4756314407616,126.968530597303"
서울,5/3,낙성대역2호선,서울관악구봉천동1693-39,"37.47709324099651,126.96352390500101"
서울,5/4,솟을대문신림역점,서울관악구신림동1432-111,"37.485117663116206,126.928206865136"
서울,5/4,GS25신림트라움점,서울관악구신림동1433-55,"37.4846995185159,126.928080630741"
서울,5/4,솟을대문신림역점,서울관악구신림동1432-111,"37.485117663116206,126.928206865136"
서울,5/4,힐링노래방,서울관악구신림동1433-18,"37.4849845537803,126.92860272687298"
서울,5/4,낙성대역2호선,서울관악구봉천동1693-39,"37.47709324099651,126.96352390500101"
서울,5/5,마라공방서울대입구역점,서울관악구봉천동859-34,"37.48235133796223,126.95280184522386"
서울,5/5,독스PC방,서울관악구봉천동1674-4,"37.479574582337406,126.957982816455"
서울,5/6,독스PC방,서울관악구봉천동1674-4,"37.479574582337406,126.957982816455"
서울,5/6,베스타코인노래방,서울관악구봉천동1680-31,"37.4782890261027,126.96115365139"
서울,5/6,써브웨이낙성대역점,서울관악구봉천동1661-4,"37.47787981985646,126.96070616037045"
서울,5/6,낙성대역2호선,서울관악구봉천동1693-39,"37.47709324099651,126.96352390500101"
서울,5/7,코로나19관악구보건소선별진료소,서울관악구봉천동1570-1,"37.4784799393239,126.951168342897"
서울,5/7,에그드랍서울대입구점,서울관악구봉천동856-2,"37.4802114757342,126.952886855414"
서울,5/7,서울대입구역2호선,서울관악구봉천동979-2,"37.48128450806781,126.95271319776198"
서울,5/8,고려대학교구로병원,서울구로구구로동80,"37.49225437002535,126.88473741237897"
서울,5/6,관악이비인후과,서울관악구봉천동852-2,"37.481465188656394,126.953925105016"
서울,5/6,관악온누리약국,서울관악구봉천동852-2,"Ld.,37.48146698053033"
서울,5/6,세븐일레븐관악점,서울관악구봉천동851-30,"37.48215883919217,126.95360245034163"
서울,5/6,스타버스코인노래연습장서울대본점,서울관악구봉천동857-5,"37.48067192861771,126.95298040651501"
서울,5/6,할리스커피서울대사거리점,서울관악구봉천동857-4,"37.480545744145,126.95287194770802"
서울,5/6,너구리덮밥,서울관악구봉천동1621-8,"37.47811102173159,126.957088227474"
서울,5/6,슈퍼스타코인노래연습장샤로수점,서울관악구봉천동1603-4,"SupersrCoiSiiTriiCeer,37.4792017961612"
서울,5/6,스타벅스서울대입구역점,서울관악구봉천동869-1,"37.4811758306639,126.951342964083"
서울,5/7,코로나19관악구보건소선별진료소,서울관악구봉천동1570-1,"37.4784799393239,126.951168342897"
서울,5/5,스타벅스당산역점,서울영등포구당산동6가304-1,"37.53446658474001,126.90191073075499"
제주,5/9,제주대학교병원,제주특별자치도제주시아라일동1753-3,"33.467273549104696,126.545256412592"
서울,5/4,블랙수면방,서울강남구논현동198-10,"37.50592196837301,127.025872424955"
서울,5/8,카카오뱅크콜센터,서울영등포구당산동3가2-7,"37.5257234102191,126.902080559285"
서울,5/6,롯데백화점본점,서울중구을지로1가140-1,"37.56518671902911,126.98179935499799"
경기,5/9,다산헤리움그랑비스타2차오피스텔,경기남양주시다산동6058,"37.6255213942648,127.15210149287044"
경기,5/8,코로나19남양주보건소선별진료소,경기남양주시다산동3159-7,"37.610500142345956,127.1711727565189"
경기,5/9,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,5/8,코로나19덕양구보건소선별진료소,경기고양시덕양구주교동603,"37.65778628459281,126.831167768056"
서울,5/9,인제대학교서울백병원,서울중구저동2가85,"37.565050643045105,126.98883967451602"
제주,5/7,더고운의원,제주특별자치도제주시이도2동1986-2,"33.489160841977906,126.539434851028"
제주,5/8,더고운의원,제주특별자치도제주시이도2동1986-2,"33.489160841977906,126.539434851028"
제주,5/8,Y식자재마트제주삼화점,제주특별자치도제주시도련일동1937-1,"33.51708527578461,126.581179020047"
부산,5/8,서울역,서울용산구동자동43-205,"37.554678838867396,126.970606917394"
부산,5/8,부산역,부산동구초량동1187-1,"35.1151082632134,129.0414202566283"
서울,5/4,낙성대역2호선,서울관악구봉천동1693-39,"37.47709324099651,126.96352390500101"
서울,5/5,낙성대역2호선,서울관악구봉천동1693-39,"37.47709324099651,126.96352390500101"
서울,5/6,낙성대역2호선,서울관악구봉천동1693-39,"37.47709324099651,126.96352390500101"
서울,5/8,코로나19관악구보건소선별진료소,서울관악구봉천동1570-1,"37.4784799393239,126.951168342897"
대구,5/8,코로나19서구보건소선별진료소,대구서구평리동1230-9,"35.8722258229753,128.5593290491632"
대구,5/9,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
서울,5/10,서울특별시서울의료원,서울중랑구신내동316,"37.6128675208202,127.09809248467599"
서울,5/6,닝교초식당홍대점,서울마포구동교동164-10,"37.5558941987054,126.923987797108"
서울,5/6,트루바두르홍대점,서울마포구동교동169-11,"37.55645716394349,126.925150662841"
서울,5/6,설빙홍대입구역점,서울마포구동교동162-3,"37.5553743958013,126.922711731138"
서울,5/6,락휴코인노래연습장,서울마포구동교동162-3,"37.5553095003173,126.922675582761"
서울,5/6,홍대입구역2호선,서울마포구동교동192-5,"37.556870744887306,126.923778562273"
서울,5/7,해인약국,서울광진구화양동12-30,"37.54303467844559,127.070979608443"
서울,5/7,소신이쏘건대점,서울광진구화양동9-19,"37.5415652215819,127.06933976934499"
서울,5/5,탐앤탐스잠실새내역점,서울송파구잠실동183,"37.51102951653576,127.08307088507482"
서울,5/5,엔젤스코인노래연습장,서울송파구잠실본동190,"37.5105484021057,127.081748148545"
서울,5/5,롯데리아잠실새내점,서울송파구잠실동184,"37.511390736934906,127.083187785382"
서울,5/5,서울리즘,서울송파구송파동48-7,"37.50978158782291,127.111552566541"
서울,5/5,쿡몬스터PC방,서울강서구화곡동140-19,"37.5418974415505,126.841626763358"
서울,5/6,엘리트24휘트니스,서울강서구화곡동98-60,"37.5424702314041,126.844151140754"
서울,5/8,코로나19강서구보건소선별진료소,서울강서구염창동275-12,"37.54961750526951,126.868285554347"
서울,5/9,서울대학교병원,서울종로구연건동28-21,"37.5796653058195,126.998962996348"
서울,5/6,우장산역5호선,서울강서구내발산동724-63,"37.54881708664289,126.836325138536"
서울,5/6,영등포구청역2호선,서울영등포구당산동3가270-1,"37.52583053114021,126.89667739939"
서울,5/6,고투우장산점,서울강서구내발산동719-6,"37.5495085670871,126.835975080596"
서울,5/7,우장산역5호선,서울강서구내발산동724-63,"37.54881708664289,126.836325138536"
서울,5/7,영등포구청역2호선,서울영등포구당산동3가270-1,"37.52583053114021,126.89667739939"
서울,5/8,우장산역5호선,서울강서구내발산동724-63,"37.54881708664289,126.836325138536"
서울,5/8,영등포구청역2호선,서울영등포구당산동3가270-1,"37.52583053114021,126.89667739939"
서울,5/8,코로나19홍익병원선별진료소,서울양천구신정동899-1,"37.5284819907038,126.86363904011"
서울,5/9,가톨릭대학교은평성모병원,서울은평구진관동93-11,"37.633608409726854,126.91615048739686"
서울,5/9,코로나19성북구보건소선별진료소,서울성북구하월곡동46-1,"37.60270967362871,127.039531534938"
서울,5/6,GS25면목샘터점,서울중랑구면목동398-1,"37.572399162141,127.08326012520101"
서울,5/10,서울특별시서울의료원,서울중랑구신내동316,"37.6128675208202,127.09809248467599"
서울,5/9,코로나19중구보건소선별진료소,서울중구무학동50-5,"37.56458889596121,127.01509124756998"
서울,5/10,코로나19강릉시보건소선별진료소,강원강릉시내곡동413,"37.74281029073321,128.88275019847165"
인천,5/9,인하대병원,인천중구신흥동3가7-206,"37.4588334876626,126.63427046665801"
세종,5/10,충남대학교병원,대전중구대사동640,"36.31684710718836,127.41537216942362"
서울,5/5,GS25서초스타힐스점,서울서초구우면동773,"37.45623383347079,127.016994241567"
서울,5/7,강남레옹치과의원,서울서초구서초동1306-8,"37.49954185070089,127.02630900853801"
서울,5/7,영약국,서울서초구서초동1306-8,"37.4995598637666,127.02634067976501"
서울,5/5,한성돈까스신사본점,서울서초구잠원동21-5,"37.5147954516938,127.019084246969"
경기,5/9,코로나19일산동구보건소선별진료소,경기고양시일산동구마두동1010,"37.655694553150205,126.776159934729"
서울,5/7,서울역,서울용산구동자동43-205,"37.554678838867396,126.970606917394"
서울,5/7,대부육회,경북경주시동천동793-3,"35.85558342082101,129.22287352161925"
서울,5/8,CM스포츠타운,경북경주시용강동1228-22,"35.88667590728011,129.22659926255727"
서울,5/8,구릉,경북경주시북군동242-1,"35.85268577230641,129.26492069376852"
서울,5/8,서울역,서울용산구동자동43-205,"37.554678838867396,126.970606917394"
서울,5/8,신경주역,경북경주시건천읍화천리1010,"35.7983754706903,129.13899826575172"
서울,5/10,순천향대학교부속서울병원,서울용산구한남동657-58,"37.53378643738393,127.00442379819599"
서울,5/5,올,서울용산구이태원동132-8,"37.53320978973579,126.99539294947301"
서울,5/9,코로나19용산구보건소선별진료소,서울용산구이태원동34-87,"37.5325896182205,126.99061852981102"
서울,5/10,국립중앙의료원,서울중구을지로6가18-79,"37.56724946361499,127.005691254159"
서울,5/1,술판,서울용산구이태원동136-46,"37.53373960088581,126.99601292708601"
경기,5/5,포베이의왕점,경기의왕시삼동192-38,"37.32074513446385,126.95068617098889"
경기,5/6,하루애김밥,경기의왕시삼동563-1,"37.317217118155796,126.953995089238"
경기,5/6,정통밥집,경기의왕시월암동530-1,"37.31157415532841,126.95008074909302"
서울,5/7,장안면옥가락점,서울송파구가락동166-29,"37.4971092284878,127.13304251778"
서울,5/7,호디박스가락본점,서울송파구가락동194-5,"37.49450436712872,127.13228703739779"
서울,5/6,헌혈의집노량진역센터,서울동작구노량진동73-1,"37.513410097910906,126.942974539244"
서울,5/6,투썸플레이스노량진점,서울동작구노량진동148-87,"37.51349859353184,126.94529661963654"
서울,5/2,백암집,서울동작구사당동128-24,"37.488078604635895,126.979597352029"
인천,5/10,코로나19부평구보건소선별진료소,인천부평구부평동442-1,"37.49883370697678,126.724246834459"
경기,5/9,코로나19영통구보건소선별진료소,경기수원시영통구영통동961-18,"37.2569433360389,127.069434244751"
경기,5/10,코로나19기흥구보건소선별진료소,경기용인시기흥구신갈동60-3,"37.272608430459805,127.10639859028402"
경기,5/10,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,5/5,태능갈비,경기성남시수정구수진동1-2,"37.44154931517851,127.13622565149498"
서울,5/10,코로나19도봉구보건소선별진료소,서울도봉구쌍문동565,"37.65791512417859,127.038844549549"
서울,5/4,잠실새내역2호선,서울송파구잠실동21,"37.51162635872959,127.08631432791302"
서울,5/4,탐앤탐스잠실새내역점,서울송파구잠실동183,"37.51102951653576,127.08307088507482"
서울,5/5,탐앤탐스잠실새내역점,서울송파구잠실동183,"37.51102951653576,127.08307088507482"
서울,5/5,GS25신천으뜸점,서울송파구잠실본동186-7,"37.510636812205405,127.08415513290899"
서울,5/7,풍미횟집,서울송파구석촌동276,"37.5008514165863,127.10702016940401"
서울,5/3,함경도찹쌀순대,서울송파구가락동79-7,"37.4947323862486,127.121314000573"
서울,5/4,봉구비어상도동점,서울동작구상도동242-62,"37.5014764295761,126.93455601303701"
서울,5/11,서울특별시서북병원,서울은평구역촌동산31-1,"37.604234501517695,126.90441935029999"
서울,5/8,원푸드,서울금천구가산동345-30,"37.47559076981819,126.881642752168"
경기,5/6,소꿉친구,경기수원시팔달구북수동99-1,"37.2870104748915,127.016383239038"
경기,5/7,테마모텔,경기수원시장안구영화동297-3,"37.2915521445293,127.01284754114"
경기,5/11,수원유스호스텔,경기수원시권선구서둔동88-14,"37.260744380067,126.98467197665994"
서울,5/8,CU서울대서연점,서울관악구봉천동1597-24,"Ld.,37.4769812890426"
서울,5/9,코로나19용산구보건소선별진료소,서울용산구이태원동34-87,"37.5325896182205,126.99061852981102"
경남,5/8,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
경북,5/11,경상북도포항의료원,경북포항시북구용흥동315,"36.03501859366064,129.35512278857325"
대전,5/8,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
대전,5/10,코로나19유성구보건소선별진료소,대전유성구장대동282-15,"36.35812073802611,127.335412978577"
인천,5/9,코로나19계양구보건소선별진료소,인천계양구계산동1079-1,"37.5374392700899,126.738275117246"
대구,5/8,칠곡경북대학교병원,대구북구학정동487,"35.956715645556216,128.56413060708587"
경기,5/11,국군수도병원,경기성남시분당구율동산22,"37.39170679339027,127.15176219552485"
경기,5/11,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
경기,5/10,코로나19기흥구보건소선별진료소,경기용인시기흥구신갈동60-3,"37.272608430459805,127.10639859028402"
경기,5/10,코로나19남양주풍양보건소선별진료소,경기남양주시진접읍금곡리1085-1,"37.71048368762529,127.18947867090398"
경기,5/11,신일해피트리2단지아파트,경기남양주시오남읍오남리426,"37.67883028947149,127.21490421532006"
경기,5/5,부천종합터미널,경기부천시상동539-1,"37.50415598647719,126.75666759838299"
경기,5/10,코로나19영통구보건소선별진료소,경기수원시영통구영통동961-18,"37.2569433360389,127.069434244751"
경기,5/10,인제대학교일산백병원,경기고양시일산서구대화동2240,"37.674365014841,126.750313676195"
경기,5/8,코로나19덕양구보건소선별진료소,경기고양시덕양구주교동603,"37.65778628459281,126.831167768056"
경기,5/9,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,5/11,코로나19인제대학교서울백병원선별진료소,서울중구저동2가85,"37.565050643045105,126.98883967451602"
서울,5/8,궁동저수지생태공원,서울구로구궁동42-4,"37.501406342090306,126.828661553307"
서울,5/9,궁동저수지생태공원,서울구로구궁동42-4,"37.501406342090306,126.828661553307"
서울,5/9,찰보리밥집,서울구로구궁동280-2,"37.498611500835,126.829961659059"
서울,5/10,부평구보건소,인천부평구부평동442-1,"37.49883370697678,126.724246834459"
서울,5/8,계절밥상동대문롯데피트인점,서울중구을지로6가21-31,"37.5657573404933,127.00705846320902"
서울,5/8,MoMo카페,서울중구남대문로4가17-23,"37.56125031707009,126.97693800812901"
서울,5/5,명동교자분점,서울중구명동2가33-4,"37.563402305118856,126.98507650616702"
서울,5/2,약손마사지샵,서울중구을지로6가18-21,"37.5668204963753,127.007375497102"
서울,5/6,명동역4호선,서울중구충무로2가93-2,"37.560963467184095,126.986400086711"
서울,5/11,서울특별시서북병원,서울은평구역촌동산31-1,"37.604234501517695,126.90441935029999"
서울,5/10,코로나19강북구보건소선별진료소,서울강북구번동232,"37.632186638919606,127.03881302733299"
서울,5/7,신사역3호선,서울강남구논현동279,"37.5164350739218,127.02031082477198"
서울,5/9,고속터미널역3호선,서울서초구반포동19-4,"37.50455335981391,127.00513910447133"
서울,5/9,여의도역9호선,서울영등포구여의도동3-6,"37.521170089044496,126.92466104293001"
서울,5/9,화곡역5호선,서울강서구화곡동1089-54,"37.54165079257091,126.84045502633498"
서울,5/10,종로3가역1호선,서울종로구종로3가10-5,"37.57042084452299,126.99215325247599"
서울,5/10,코로나19강남구보건소선별진료소,서울강남구삼성동8,"37.51636077923351,127.042273077358"
서울,5/11,서울특별시서북병원,서울은평구역촌동산31-1,"37.604234501517695,126.90441935029999"
서울,5/10,코로나19강서구보건소선별진료소,서울강서구염창동275-12,"37.54961750526951,126.868285554347"
경기,5/7,부천세무서,경기부천시중동1051-10,"37.5073914696827,126.77435959053902"
경기,5/10,부천세무서,경기부천시중동1051-10,"37.5073914696827,126.77435959053902"
서울,5/8,코스트코양재점,서울서초구양재동217-6,"37.46193109022558,127.036287876828"
서울,5/9,이젤,서울서초구방배동780-20,"37.493838640910404,126.98489699108902"
서울,5/7,에잇세컨즈강남점,서울서초구서초동1318-1,"37.49901106594849,127.02671933221701"
서울,5/8,피씨앤쿡PC,서울광진구자양동553-15,"37.536060162923405,127.066107803994"
서울,5/5,더파운틴,서울용산구이태원동116-6,"37.53520268496599,126.99298062327301"
서울,5/11,코로나19익산시보건소선별진료소,전북익산시신동142-8,"35.9610560054146,126.96641539504398"
서울,5/2,메이드,서울용산구한남동737-32,"37.53533983482109,126.99839789560701"
인천,5/11,코로나19검단탑병원선별진료소,인천서구당하동1079-2,"37.5924190630257,126.671042110407"
,full서울확진자/,,,","
전북,5/6,코로나19김제시보건소선별진료소,전북김제시요촌동423-2,"35.80082282102331,126.88331880334898"
전북,5/11,코로나19익산시보건소선별진료소,전북익산시신동142-8,"35.9610560054146,126.96641539504398"
경남,5/7,하선장만선칼국수,경남거제시연초면오비리1166-12,"34.89924767513289,128.6298897767913"
경남,5/8,미도락민물장어,경남거제시연초면오비리1167-3,"34.89889773505623,128.6310500894713"
경남,5/8,고현버스터미널,경남거제시고현동979-1,"34.89100604092332,128.62419764433372"
경남,5/8,부산서부버스터미널,부산사상구괘법동533-6,"35.1632394721581,128.98252542642308"
경남,5/10,부산서부버스터미널,부산사상구괘법동533-6,"35.1632394721581,128.98252542642308"
경남,5/10,고현버스터미널,경남거제시고현동979-1,"34.89100604092332,128.62419764433372"
경남,5/11,제일내과의원,경남거제시장평동56-1,"34.89075586175581,128.61327522156625"
경남,5/11,장평온누리약국,경남거제시장평동56-1,"Ld.,34.89084828835999"
경남,5/11,코로나19거제시보건소선별진료소,경남거제시양정동981,"34.8919453531363,128.63674609115725"
경남,5/12,경상남도마산의료원,경남창원시마산합포구장군동4가3-6,"Gyeosm-do,35.19917138155086"
경기,5/11,코로나19장안구보건소선별진료소,경기수원시장안구조원동888,"37.30437595313949,127.01028699688202"
경기,5/12,성남시의료원,경기성남시수정구태평동3309,"37.445053152463494,127.138727193654"
울산,5/12,울산대학교병원,울산동구전하동290-3,"35.520101913837344,129.42873869172817"
울산,5/8,울산역,울산울주군삼남면신화리88,"35.551543190800615,129.13866004741575"
울산,5/9,울산역,울산울주군삼남면신화리88,"35.551543190800615,129.13866004741575"
울산,5/11,코로나19동구보건소선별진료소,울산동구화정동222,"35.50651566280682,129.417646067224"
부산,5/7,파라다이스호텔부산,부산해운대구중동1408-5,"35.160221626685455,129.16526762739832"
부산,5/8,파라다이스호텔부산,부산해운대구중동1408-5,"35.160221626685455,129.16526762739832"
서울,5/9,딩동댕노래연습장,서울노원구중계동505,"37.6390772607966,127.06391031400598"
서울,5/9,홈플러스중계점,서울노원구중계동509-2,"37.640083678793495,127.068687971734"
서울,5/9,이모네전집,서울노원구중계동506,"37.6399348082194,127.06426001684498"
서울,5/11,코로나19노원구보건소선별진료소,서울노원구상계동701-1,"37.6546642208363,127.05698372406"
서울,5/12,서울특별시서울의료원,서울중랑구신내동316,"37.6128675208202,127.09809248467599"
서울,5/7,가왕코인노래연습장,서울도봉구창동655-20,"37.647328153148386,127.03440624550102"
서울,5/9,아이비스PC,서울도봉구쌍문동315-29,"37.6471093961391,127.030467409394"
서울,5/9,홍대돈부리쌍문역점,서울도봉구창동655-10,"37.646405619803396,127.03415200282102"
서울,5/9,설빙쌍문점,서울도봉구창동655-11,"37.646697599946805,127.033939110582"
서울,5/12,서울특별시서북병원,서울은평구역촌동산31-1,"37.604234501517695,126.90441935029999"
경기,5/9,산나래한정식,경기의왕시내손동173-1,"37.371232238279504,126.98754982474301"
경기,5/9,카페모우,경기의왕시학의동산82-6,"37.3808197971761,127.00086263553798"
서울,5/4,행복한밥상,서울송파구문정동379-7,"37.4849272661636,127.11629606775202"
서울,5/4,MMTH문정점,서울송파구문정동644,"37.4854188881352,127.11844059106001"
서울,5/6,행복한밥상,서울송파구문정동379-7,"37.4849272661636,127.11629606775202"
서울,5/6,MMTH문정점,서울송파구문정동644,"37.4854188881352,127.11844059106001"
서울,5/7,행복한밥상,서울송파구문정동379-7,"37.4849272661636,127.11629606775202"
서울,5/7,MMTH문정점,서울송파구문정동644,"37.4854188881352,127.11844059106001"
경기,5/8,MN휘트니스범계점,경기안양시동안구호계동1050,"37.389972271651004,126.953513651629"
경기,5/10,인제대학교일산백병원,경기고양시일산서구대화동2240,"37.674365014841,126.750313676195"
인천,5/10,팔복교회,인천미추홀구용현동124-8,"37.455136665045096,126.65992173878499"
인천,5/10,세움학원,인천미추홀구숭의동293-8,"37.4583350265721,126.64936416159799"
인천,5/11,세움학원,인천미추홀구숭의동293-8,"37.4583350265721,126.64936416159799"
인천,5/11,코로나19미추홀구보건소선별진료소,인천미추홀구도화동357-1,"37.46109730656191,126.67744386263398"
인천,5/13,인하대병원,인천중구신흥동3가7-206,"37.4588334876626,126.63427046665801"
인천,5/8,코로나19현대유비스병원선별진료소,인천미추홀구숭의동340-1,"37.4617331307801,126.64317791044002"
