지역,일자,지명,주소,좌표
경북,4/16,나라시스템,경북예천군예천읍백전리92-1,"36.6619881464179,128.46041921667515"
경북,4/18,현대종합세차타운,경북예천군예천읍남본리200-23,"36.652033574158494,128.45539578286215"
경북,4/18,다이소경북예천점,경북예천군예천읍남본리222-36,"36.6554385547473,128.45341112285814"
경북,4/18,현대종합세차타운,경북예천군예천읍남본리200-23,"36.652033574158494,128.45539578286215"
경북,4/18,해창세탁소,경북예천군예천읍남본리176-16,"Ld.,36.652459692995706"
경북,4/19,미소정육점,경북예천군예천읍대심리68-2,"36.648911343092,128.44422634758814"
경북,4/19,GS25예천터미널점,경북예천군예천읍대심리64-12,"36.64865962289301,128.44388170726907"
경북,4/19,GS25예천주공점,경북예천군예천읍대심리429-10,"36.65220066375231,128.4410626881071"
경남,4/21,경상남도마산의료원,경남창원시마산합포구장군동4가3-6,"Gyeosm-do,35.19917138155086"
대전,4/19,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
대전,4/19,광명역,경기광명시일직동276-8,"37.416451341811104,126.88480397548899"
대전,4/19,대전역,대전동구정동1-1,"36.33229969089899,127.43411216191"
대전,4/21,코로나19중구보건소선별진료소,대전중구문화동785,"36.308023984134806,127.395069821382"
대전,4/21,충남대학교병원,대전중구대사동640,"36.31684710718836,127.41537216942362"
서울,4/21,서울적십자병원,서울종로구평동164,"37.56717651248239,126.96699800275701"
서울,4/20,코로나19마포구보건소선별진료소,서울마포구성산동369-15,"37.56694932271091,126.90185909738"
서울,4/21,서울특별시서울의료원,서울중랑구신내동316,"37.6128675208202,127.09809248467599"
서울,4/19,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
부산,4/11,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
부산,4/11,국립인천공항검역소,인천중구운서동2851,"37.4499683739933,126.452565636585"
부산,4/11,광명역,경기광명시일직동276-8,"37.416451341811104,126.88480397548899"
부산,4/11,부산역,부산동구초량동1187-1,"35.1151082632134,129.0414202566283"
부산,4/22,부산의료원,부산연제구거제동1330,"35.18729655432529,129.05922489147238"
대구,4/21,코로나19영남대학교병원선별진료소,대구남구대명동317-1,"35.847504869668896,128.58512995569222"
대구,4/21,영남대학교병원,대구남구대명동317-1,"35.847504869668896,128.58512995569222"
대구,4/20,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
대구,4/19,코로나19동구보건소선별진료소,대구동구검사동1005-8,"35.88812099116721,128.65121779446832"
경기,4/21,한성내과,경기포천시소흘읍송우리103-1,"37.831007528760196,127.149270179607"
부산,4/17,부산역,부산동구초량동1187-1,"35.1151082632134,129.0414202566283"
부산,4/22,코로나19사상구보건소선별진료소,부산사상구감전동138-8,"35.15244078567301,128.9921297939431"
부산,4/23,부산의료원,부산연제구거제동1330,"35.18729655432529,129.05922489147238"
대구,4/22,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
대구,4/21,베스트병원,대구달서구두류동495-51,"35.85493409257629,128.5508742068812"
대구,4/22,대구의료원,대구서구중리동1162,"35.8596230379832,128.5405596860952"
경기,4/15,하남문화예술회관,경기하남시덕풍동694,"37.544603525532,127.207552385904"
경기,4/23,하남더샵센트럴뷰아파트,경기하남시덕풍동946,"37.54489893228779,127.20400233128957"
경기,4/13,본아미치성남점,경기성남시중원구상대원동333-7,"37.43367087633009,127.173353327313"
경기,4/14,본아미치성남점,경기성남시중원구상대원동333-7,"37.43367087633009,127.173353327313"
경기,4/16,이마트트레이더스스타필드하남점,경기하남시신장동616,"37.545671261829504,127.22380149328134"
대구,4/24,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
부산,4/22,코로나19사상구보건소선별진료소,부산사상구감전동138-8,"35.15244078567301,128.9921297939431"
부산,4/23,부산의료원,부산연제구거제동1518,"35.18729655432529,129.05922489147238"
대구,4/23,코로나19달서구보건소선별진료소,대구달서구월성동281,"35.82947841326611,128.5323235327342"
대구,4/24,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
대구,4/23,코로나19북구보건소선별진료소,대구북구침산동521-2,"35.891877880973105,128.58889797218524"
경기,4/25,세종병원,경기부천시소사본동91-121,"37.48095462019031,126.791267065636"
경기,4/25,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,4/25,참솔마을월드메르디앙아파트,경기용인시기흥구중동819,"37.26469929398027,127.15377747712857"
경기,4/24,코로나19기흥구보건소선별진료소,경기용인시기흥구신갈동60-3,"37.272608430459805,127.10639859028402"
경기,4/24,용인시민체육공원,경기용인시처인구삼가동28-6,"37.25026861555044,127.16549983169944"
경기,4/11,국립인천공항검역소,인천중구운서동2851,"37.4499683739933,126.452565636585"
경기,4/24,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
경기,4/24,코로나19장안구보건소선별진료소,경기수원시장안구조원동888,"37.30437595313949,127.01028699688202"
전북,4/24,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
전북,4/24,전라북도인재개발원,전북남원시산곡동23,"35.421544152406504,127.37044855339632"
경기,4/25,명지병원,경기고양시덕양구화정동697-24,"37.64206996516571,126.83145714476498"
경기,4/20,국립인천공항검역소,인천중구운서동2851,"37.4499683739933,126.452565636585"
경기,4/25,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
경기,4/21,성남서현2동우체국,경기성남시분당구서현동313,"37.372561751029004,127.140919286187"
경기,4/25,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,4/13,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,4/24,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,4/27,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,4/25,명지병원,경기고양시덕양구화정동697-24,"37.64206996516571,126.83145714476498"
경기,4/26,명지병원,경기고양시덕양구화정동697-24,"37.64206996516571,126.83145714476498"
충남,4/25,코로나19논산시보건소선별진료소,충남논산시관촉동381-1,"36.19625081864349,127.10382836186598"
충남,4/26,충청남도천안의료원,충남천안시동남구삼룡동41-13,"36.775662953392526,127.1791525314296"
대구,4/25,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
대구,4/22,대구경북병무청,대구동구신서동1168-1,"35.87718388667673,128.7343914828982"
대구,4/22,광PC방시지동점,대구수성구시지동578-1,"35.840621834031005,128.69229684314934"
대구,4/23,광PC방시지동점,대구수성구시지동578-1,"35.840621834031005,128.69229684314934"
대구,4/26,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
인천,4/26,코로나19남동구보건소선별진료소,인천남동구만수동1008,"37.447404675386814,126.730705510279"
인천,4/27,인하대병원,인천중구신흥동3가7-206,"37.4588334876626,126.63427046665801"
경기,4/27,세종병원,경기부천시소사본동91-121,"37.48095462019031,126.791267065636"
경기,4/26,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,4/27,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,4/13,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,4/24,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,4/27,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,4/26,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
서울,4/25,코로나19성북구보건소선별진료소,서울성북구하월곡동46-1,"37.60270967362871,127.039531534938"
서울,4/27,서울특별시서울의료원,서울중랑구신내동316,"37.6128675208202,127.09809248467599"
서울,4/26,코로나19강남구보건소선별진료소,서울강남구삼성동8,"37.51636077923351,127.042273077358"
서울,4/26,코로나19강남구보건소선별진료소,서울강남구삼성동8,"37.51636077923351,127.042273077358"
충남,4/27,코로나19동남구보건소선별진료소,충남천안시동남구문화동112-14,"36.80745329108619,127.151275875625"
충남,4/28,충청남도천안의료원,충남천안시동남구삼룡동41-13,"36.775662953392526,127.1791525314296"
충남,4/27,코로나19동남구보건소선별진료소,충남천안시동남구문화동112-14,"36.80745329108619,127.151275875625"
경기,4/27,인제대학교일산백병원,경기고양시일산서구대화동2240,"37.674365014841,126.750313676195"
경기,4/28,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
경기,4/28,성복역롯데캐슬골드타,경기용인시수지구성복동789,"37.31280504349472,127.08338247680446"
경기,4/28,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,4/28,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
대구,4/28,영남대학교병원,대구남구대명동317-1,"35.847504869668896,128.58512995569222"
대구,4/28,전북대학교병원,전북전주시덕진구금암동634-18,"35.84707083607469,127.14115958027402"
대구,4/24,대구반야월막창종로점,대구중구종로1가56-5,"35.869715680036194,128.59171915275022"
대구,4/26,토리헤어동성로점,대구중구동성로2가139,"35.868421762279795,128.59497035145745"
대구,4/27,코로나19남구보건소선별진료소,대구남구대명동2003,"35.853901396764805,128.59152247146523"
대구,4/28,중앙교육연수원,대구동구신서동1180,"35.88366303266441,128.73251304617443"
경기,4/26,탑텐평택장당점,경기평택시장당동81-2,"37.03815020600079,127.06875568608022"
경기,4/27,다인삼겹,경기평택시장당동81-2,"37.076662,127.058107"
경기,4/27,GS25평택송탄로점,경기평택시지산동864-10,"37.0738399576997,127.058642327679"
경기,4/29,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
서울,4/24,보돌미역서울교대점,서울서초구서초동1695-3,"37.495532591979796,127.014641971864"
인천,4/29,코로나19미추홀구보건소선별진료소,인천미추홀구도화동357-1,"37.46109730656191,126.67744386263398"
인천,4/29,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
인천,4/30,인하대병원,인천중구신흥동3가7-206,"37.4588334876626,126.63427046665801"
경기,4/28,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
경기,4/29,왕십리곱창,경기부천시심곡동190-14,"37.487134725787506,126.782823893798"
경기,4/18,원조국수집,경기고양시덕양구행주내동138-3,"37.601638864160094,126.827553178764"
경기,4/21,춘천1번지닭갈비,경기고양시일산서구주엽동102-1,"37.6685526986442,126.762923470941"
경기,4/28,커피버프,경기고양시일산서구주엽동83,"37.6679650745737,126.764630030113"
서울,4/29,서울돈까스,서울중구오장동206-37,"37.5644276677392,127.001779298742"
부산,4/23,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
부산,4/23,용인휴게소,경기용인시처인구고림동12-6,"37.24555362810061,127.24231812061699"
